fecha_actualizacion,id_eess,id_producto_bsa,saldo_octano,saldo_bsa,saldo_planta
2025-08-18 00:37:32,2307,2,238879.8215,34.7016,273350.6385
2025-08-18 00:37:32,2307,3,-35601.6255,0.0,-35601.6255
2025-08-18 00:37:32,2307,7,-39195.7277,12.9212,-62216.0058
2025-08-18 00:37:32,2308,2,1041009.3968,1430.044,1051673.8683
2025-08-18 00:37:32,2308,3,-44724.3872,0.0,-44724.3872
2025-08-18 00:37:32,2308,7,-582418.1218,1200.1855,-592910.0674
2025-08-18 00:37:32,2317,2,38588.7269,1408.99,42531.7644
2025-08-18 00:37:32,2317,3,21196.2868,0.0,21196.2868
2025-08-18 00:37:32,2317,7,211996.482,19688.2443,213914.0476
2025-08-18 00:37:32,2327,3,-50007.658,0.0,-50007.658
2025-08-18 00:37:32,2327,7,-246885.599,8001.618,-232871.937
2025-08-18 00:37:32,2329,8,-66807.434,6500.0,-66807.434
2025-08-18 00:37:32,2330,3,-19948.679,0.0,-19948.679
2025-08-18 00:37:32,2330,7,-284226.127,15096.179,-274348.856
2025-08-18 00:37:32,2332,2,-816461.323,1400.0,-816461.323
2025-08-18 00:37:32,2332,3,-621474.561,0.0,-640702.587
2025-08-18 00:37:32,2332,7,-1682702.78,2686.966,-1727588.051
2025-08-18 00:37:32,2332,10,76610.2,0.0,51297.59
2025-08-18 00:37:32,2333,2,69305.03,1692.61,73330.961
2025-08-18 00:37:32,2333,3,38645.702,10221.67,38645.49
2025-08-18 00:37:32,2335,2,20272.412,107.665,20272.412
2025-08-18 00:37:32,2335,8,-22386.942,12375.419,-22386.942
2025-08-18 00:37:32,2335,10,-47904.39,0.0,-48215.167
2025-08-18 00:37:32,2338,2,11948.863,1804.829,24835.273
2025-08-18 00:37:32,2338,3,72733.31,26211.176,62759.722
2025-08-18 00:37:32,2339,2,281929.8316,3232.0,285418.1261
2025-08-18 00:37:32,2339,3,1554.9094,0.0,2316.9094
2025-08-18 00:37:32,2339,7,88481.0882,680.0049,94572.613
2025-08-18 00:37:32,2341,7,8849.5918,646.0,641.5604
2025-08-18 00:37:32,2345,2,-638625.794,3758.434,-607652.145
2025-08-18 00:37:32,2345,3,-571187.631,2430.197,-541440.367
2025-08-18 00:37:32,2346,2,132080.533,1153.0,136919.327
2025-08-18 00:37:32,2346,3,102281.16,1152.079,121048.71
2025-08-18 00:37:32,2348,2,-17631.1255,391.0,-17671.4158
2025-08-18 00:37:32,2348,3,-12725.9021,0.0,-3715.9021
2025-08-18 00:37:32,2348,7,-33954.2441,100.0,-42349.7229
2025-08-18 00:37:32,2350,3,70802.0806,1056.5689,70635.243
2025-08-18 00:37:32,2350,7,0.0,0.0,0.0
2025-08-18 00:37:32,2353,2,85467.0431,1520.7204,111310.6242
2025-08-18 00:37:32,2353,3,31564.3483,0.0,33563.3483
