fecha_actualizacion,id_eess,id_producto_bsa,saldo_octano,saldo_bsa,saldo_planta
2026-05-11 02:39:51,1724,3,-5801.03,0.0,-5801.03
2026-05-11 02:39:51,1724,7,-325840.34,43778.307,-315314.503
2026-05-11 02:39:51,1744,2,-211098.235,1188.215,-211098.235
2026-05-11 02:39:51,1744,10,-8144.84,0.0,-8209.571
2026-05-11 02:39:51,1784,3,-460057.06,0.0,-460057.06
2026-05-11 02:39:51,1784,7,-2550312.296,20008.0,-2536913.8
2026-05-11 02:39:51,1805,3,-259837.85,0.0,-259837.85
2026-05-11 02:39:51,1805,7,-2918910.936,14151.0,-2906573.97
2026-05-11 02:39:51,1806,3,-52550.0547,0.0,-52550.0547
2026-05-11 02:39:51,1806,7,-2062449.4934,11911.3922,-2062449.4934
2026-05-11 02:39:51,1844,2,-414693.6,10172.1,-414693.6
2026-05-11 02:39:51,1844,10,-24733.832,0.0,-24224.27
2026-05-11 02:39:51,1845,3,-255186.26,0.0,-255186.26
2026-05-11 02:39:51,1845,7,-1331822.664,14579.0,-1318622.47
2026-05-11 02:39:51,1846,2,-3387486.863,17548.08,-3387486.863
2026-05-11 02:39:51,1846,3,-162433.969,0.0,-162433.969
2026-05-11 02:39:51,1846,7,-722121.159,21293.28,-727632.869
2026-05-11 02:39:51,1846,10,-77874.295,0.0,-92433.475
2026-05-11 02:39:51,1887,2,-1298639.286,5060.388,-1298639.286
2026-05-11 02:39:51,1887,3,-281666.086,0.0,-281666.086
2026-05-11 02:39:51,1887,7,-5341004.703,20272.503,-5365192.957
2026-05-11 02:39:51,1887,10,-45184.696,0.0,-66998.884
2026-05-11 02:39:51,1924,2,-415622.4499,12424.46,-415622.4499
2026-05-11 02:39:51,1924,10,-26864.6731,0.0,-21427.1001
2026-05-11 02:39:51,1926,2,-2177515.2251,2077.7478,-2177515.2251
2026-05-11 02:39:51,1926,3,5096.2534,0.0,5096.2534
2026-05-11 02:39:51,1926,7,-709284.0233,28836.7803,-709284.0233
2026-05-11 02:39:51,1926,10,-367462.3416,0.0,-367462.3416
2026-05-11 02:39:51,1927,3,-133555.486,0.0,-133555.486
2026-05-11 02:39:51,1927,7,-5260608.9585,33488.562,-5199787.8705
2026-05-11 02:39:51,1928,2,14250.1301,17826.21,24250.1301
2026-05-11 02:39:51,1928,3,-8841.741,0.0,-8841.741
2026-05-11 02:39:51,1928,7,-125292.852,9379.83,-113623.152
2026-05-11 02:39:51,1928,10,14007.52,0.0,53773.42
2026-05-11 02:39:51,1944,3,-254376.85,0.0,-254376.85
2026-05-11 02:39:51,1944,7,-2031122.868,9633.0,-2017323.41
2026-05-11 02:39:51,1945,2,158342.059,5206.543,158342.059
2026-05-11 02:39:51,1945,3,79139.515,0.0,79139.515
