fecha_actualizacion,id_eess,id_producto_bsa,fecha_ultima_venta,saldo_octano,saldo_bsa,saldo_planta
2026-08-03 03:47:33,2417,2,2026-08-01 16:05:14,251499.475,9806.379,263070.671
2026-08-03 03:47:33,2417,3,2026-06-24 21:44:46,7651.257,0.0,7651.257
2026-08-03 03:47:33,2417,7,2026-08-02 10:49:13,306861.093,5134.957,317442.307
2026-08-03 03:47:33,2446,3,2026-06-03 08:46:32,297.62,0.0,297.62
2026-08-03 03:47:33,2446,7,2026-08-03 02:57:04,24573.157,2057.03,24573.157
2026-08-03 03:47:33,2449,2,2026-08-01 10:14:25,433431.5456,902.8955,433431.5456
2026-08-03 03:47:33,2449,10,2026-06-03 08:36:28,445.7641,0.0,445.7641
2026-08-03 03:47:33,2455,3,2026-06-25 11:49:24,-27258.4132,0.0,-27258.4132
2026-08-03 03:47:33,2455,7,2026-08-02 14:35:23,34072.8517,18075.5729,22319.4853
2026-08-03 03:47:33,2456,2,2026-08-02 01:26:02,303239.9648,911.8146,319617.5025
2026-08-03 03:47:33,2456,3,2026-08-02 01:36:31,46228.2837,76.4773,47416.4866
2026-08-03 03:47:33,2457,3,2026-06-29 17:15:03,39649.4768,0.0,39649.4768
2026-08-03 03:47:33,2457,7,2026-08-02 11:12:52,-852.6398,1686.7314,2603.3545
2026-08-03 03:47:33,2471,3,2026-06-03 07:10:50,-40667.004,0.0,-40667.004
2026-08-03 03:47:33,2471,7,2026-08-03 03:18:01,-208099.475,4691.393,-192403.356
2026-08-03 03:47:33,2472,2,2026-08-01 12:51:21,-2194413.3506,57862.1091,-2168254.8231
2026-08-03 03:47:33,2482,2,2026-08-02 20:41:10,-42686.5805,4053.5622,-41965.6018
2026-08-03 03:47:33,2486,3,2026-06-25 08:30:15,-35938.9957,0.0,-35938.9957
2026-08-03 03:47:33,2486,7,2026-08-02 10:50:22,-222198.7461,11824.4033,-214483.3771
2026-08-03 03:47:33,2487,2,2026-08-01 11:50:55,-137090.4527,94.1684,-137090.4527
2026-08-03 03:47:33,2487,3,2026-08-02 21:31:36,-31349.7205,230.252,-18360.1125
2026-08-03 03:47:33,2487,7,2026-07-30 20:28:53,-21225.6472,549.7749,-21225.6472
2026-08-03 03:47:33,2487,10,2026-06-03 07:14:10,1420.3818,0.0,1420.3818
2026-08-03 03:47:33,2489,3,2026-06-25 07:34:49,47771.3544,0.0,47771.3544
2026-08-03 03:47:33,2489,7,2026-08-02 01:41:37,209669.3398,358.0085,195492.3958
2026-08-03 03:47:33,2494,2,2026-08-01 22:54:52,344603.3348,282021.0211,348814.1841
2026-08-03 03:47:33,2494,3,2026-08-02 16:45:52,182570.3939,140337.8768,184488.2181
2026-08-03 03:47:33,2500,2,2026-08-02 08:17:23,176855.5997,26569.4002,179234.157
2026-08-03 03:47:33,2500,3,2026-08-02 22:01:57,14079.3556,8823.4648,23312.3503
2026-08-03 03:47:33,2500,7,2026-06-03 08:14:04,0.0,0.0,0.0
2026-08-03 03:47:33,2502,2,2026-08-01 19:17:00,-85348.958,12642.9715,-95085.3316
2026-08-03 03:47:33,2502,3,2026-08-01 20:07:21,3306124.8289,1412.4442,3296446.4194
2026-08-03 03:47:33,2505,3,2026-06-18 16:41:17,28705.308,0.0,28705.308
2026-08-03 03:47:33,2505,7,2026-08-02 23:06:00,-172307.366,11273.599,-176399.78
2026-08-03 03:47:33,2514,2,2026-08-01 18:15:15,224113.01,388.5989,230086.2303
2026-08-03 03:47:33,2514,3,2026-08-01 20:10:02,163131.2431,1926.2964,167393.3466
2026-08-03 03:47:33,2515,3,2026-08-01 19:39:11,1169322.9369,1495.3408,1154302.3776
2026-08-03 03:47:33,2517,2,2026-08-02 07:37:22,16396.4743,332.09,16396.4743
2026-08-03 03:47:33,2517,3,2026-08-02 14:23:52,16564.8257,725.6092,16564.8257
2026-08-03 03:47:33,2517,7,2026-07-31 09:12:52,-259936.3257,493.5523,-259936.3257
2026-08-03 03:47:33,2517,10,2026-06-03 07:30:55,313916.0651,0.0,313916.0651
2026-08-03 03:47:33,2525,3,2026-06-23 11:45:38,14081.7863,0.0,14081.7863
2026-08-03 03:47:33,2525,7,2026-08-02 19:41:29,-102014.4976,6642.8475,-100288.0594
2026-08-03 03:47:33,2528,2,2026-08-02 20:27:38,79750.2231,2202.3169,80753.5212
2026-08-03 03:47:33,2528,3,2026-08-02 08:10:29,151942.5284,5662.3711,159820.5834
2026-08-03 03:47:33,2528,7,2026-06-03 06:20:28,0.0,0.0,0.0
2026-08-03 03:47:33,2531,2,2026-08-01 23:16:30,596492.1066,23882.1181,622028.2142
2026-08-03 03:47:33,2531,3,2026-08-02 17:24:04,958621.6731,25003.4614,963230.3628
2026-08-03 03:47:33,2535,3,2026-08-01 08:22:07,-257643.8088,1167.3057,-256805.7072
2026-08-03 03:47:33,2535,7,2026-08-03 00:08:19,-422409.1179,-305.553,-424378.3961
2026-08-03 03:47:33,2537,2,2026-08-01 21:01:09,-7533.9104,514.8181,-6131.1291
2026-08-03 03:47:33,2537,3,2026-08-02 07:08:08,49662.04,855.671,51210.9983
2026-08-03 03:47:33,2543,2,2026-08-02 00:08:07,376918.618,19125.423,382834.093
2026-08-03 03:47:33,2543,3,2026-06-25 06:59:27,253598.678,0.0,253598.678
2026-08-03 03:47:33,2543,7,2026-08-01 18:45:06,553033.6208,10002.986,577671.1048
2026-08-03 03:47:33,2547,3,2026-06-23 08:13:01,-16749.9405,0.0,-15354.2997
2026-08-03 03:47:33,2547,7,2026-08-02 08:13:03,-290693.5932,18956.0375,-274800.0601
2026-08-03 03:47:33,2548,2,2026-08-02 02:10:31,-203090.94,202.4015,-203090.94
2026-08-03 03:47:33,2548,10,2026-06-03 07:47:18,-32394.4783,0.0,-33467.9713
2026-08-03 03:47:33,2551,2,2026-08-03 03:05:01,-225257.1544,51925.6597,-192467.375
2026-08-03 03:47:33,2551,3,2026-08-03 03:35:01,-2275896.0807,176726.43,-2163762.4506
2026-08-03 03:47:33,2552,2,2026-08-01 20:37:49,-55163.2437,2905.1281,-55163.2437
2026-08-03 03:47:33,2552,3,2026-08-02 07:27:07,-59460.6346,-19391.9056,-65447.675
2026-08-03 03:47:33,2552,7,2026-08-02 20:47:17,71495.478,23559.1235,72457.2284
2026-08-03 03:47:33,2552,10,2026-06-03 07:13:13,8613.7686,0.0,550.2333
2026-08-03 03:47:33,2556,3,2026-06-25 08:25:06,29849.4677,0.0,29849.4677
2026-08-03 03:47:33,2556,7,2026-08-02 18:42:42,145775.621,4357.8112,146147.3815
2026-08-03 03:47:33,2559,3,2026-08-02 21:49:44,71286.4724,5580.3644,72204.8297
2026-08-03 03:47:33,2559,7,2026-06-03 08:00:22,0.0,0.0,0.0
2026-08-03 03:47:33,2564,3,2026-07-31 06:15:45,234828.8047,252.3076,237327.6119
2026-08-03 03:47:33,2564,7,2026-08-02 13:13:49,-68490.0453,959.4735,-59503.7267
2026-08-03 03:47:33,2567,2,2026-08-01 10:22:21,-971118.0609,347.2616,-966627.0297
2026-08-03 03:47:33,2567,10,2026-06-03 08:57:48,-0.048,0.0,-0.048
2026-08-03 03:47:33,2571,2,2026-08-01 14:41:39,84061.9248,47988.295,84061.9248
2026-08-03 03:47:33,2571,10,2026-06-03 08:48:36,3282.92,0.0,3282.92
2026-08-03 03:47:33,2578,2,2026-08-02 07:53:21,523980.7207,40703.7431,526326.0897
2026-08-03 03:47:33,2578,3,2026-08-01 10:31:39,90032.1126,18000.0,90032.1126
2026-08-03 03:47:33,2578,7,2026-08-02 15:02:24,130362.1665,11907.2857,138315.5747
2026-08-03 03:47:33,2584,2,2026-08-01 13:49:53,-58366.6554,424.8324,-54813.3614
2026-08-03 03:47:33,2584,3,2026-06-03 08:11:41,0.0,0.0,0.0
2026-08-03 03:47:33,2584,7,2026-08-02 17:36:38,-81167.4438,9106.4611,-80513.4438
2026-08-03 03:47:33,2585,3,2026-07-31 17:35:13,-567693.8662,-1063.4451,-563925.0891
2026-08-03 03:47:33,2585,7,2026-08-02 18:58:45,-675558.3797,21856.946,-662379.1795
2026-08-03 03:47:33,2590,3,2026-06-03 06:07:28,49948.16,0.0,49948.16
2026-08-03 03:47:33,2590,7,2026-08-03 02:38:02,-85946.42,4883.82,-85946.42
2026-08-03 03:47:33,2593,3,2026-06-03 08:48:31,-260092.2651,0.0,-260092.2651
2026-08-03 03:47:33,2593,7,2026-08-02 11:36:10,-4571484.3393,36029.8251,-4621801.958
2026-08-03 03:47:33,2595,2,2026-08-02 12:28:34,-221757.6495,3184.3341,-221865.6891
2026-08-03 03:47:33,2595,3,2026-07-01 23:08:31,-33957.2315,0.0,-33957.2315
2026-08-03 03:47:33,2595,7,2026-08-02 21:38:05,-39940.7496,9893.5762,-39921.0546
2026-08-03 03:47:33,2597,2,2026-08-02 04:13:38,386613.037,7533.092,403424.757
2026-08-03 03:47:33,2601,2,2026-08-02 09:21:46,205555.8515,2607.1496,207371.4055
2026-08-03 03:47:33,2601,3,2026-08-02 09:19:22,233420.8936,11992.8779,237592.5146
2026-08-03 03:47:33,2603,2,2026-08-02 21:37:32,14810.4909,5779.9504,15369.292
2026-08-03 03:47:33,2603,3,2026-08-02 22:00:44,7884.5785,12500.1584,16030.2999
2026-08-03 03:47:33,2603,7,2026-06-03 08:16:02,0.0,0.0,0.0
2026-08-03 03:47:33,2605,2,2026-08-01 21:26:39,776655.4092,2247.4629,777803.5595
2026-08-03 03:47:33,2605,3,2026-07-31 12:19:25,35507.3001,323.6378,35712.9811
2026-08-03 03:47:33,2605,7,2026-08-02 06:29:15,60406.3403,2188.1253,60405.734
2026-08-03 03:47:33,2609,3,2026-08-02 22:19:58,-46288.31,10760.3369,-46288.31
2026-08-03 03:47:33,2609,7,2026-07-27 19:03:27,-153165.5051,-743.2945,-140733.3646
2026-08-03 03:47:33,2615,3,2026-06-24 16:18:24,23818.6397,0.0,23818.6397
2026-08-03 03:47:33,2615,7,2026-08-02 10:50:10,308680.3297,5345.3749,301492.7727
2026-08-03 03:47:33,2617,3,2026-08-02 09:50:25,-625644.7406,163.36,-598440.9191
2026-08-03 03:47:33,2618,2,2026-08-01 15:37:31,265980.7069,492.8887,270501.7552
2026-08-03 03:47:33,2618,3,2026-08-01 16:02:08,379827.1764,4387.6333,394101.829
2026-08-03 03:47:33,2627,2,2026-08-03 00:54:05,-426703.9067,8074.5585,-424088.4243
2026-08-03 03:47:33,2627,3,2026-08-03 02:50:44,-77933.4924,3236.1096,-77913.4924
2026-08-03 03:47:33,2627,7,2026-08-01 23:24:53,-242020.2754,46.7916,-238183.2836
2026-08-03 03:47:33,2640,2,2026-08-02 09:39:23,1137677.511,8790.781,1137677.19
2026-08-03 03:47:33,2640,3,2026-06-25 03:29:29,48476.868,0.0,48476.868
2026-08-03 03:47:33,2640,7,2026-08-02 07:28:36,271625.448,8988.981,271452.552
2026-08-03 03:47:33,2641,3,2026-08-01 10:16:53,-232819.3631,289.8531,-232819.3631
2026-08-03 03:47:33,2641,7,2026-08-02 21:54:17,-473145.1018,549.8263,-468012.3263
2026-08-03 03:47:33,2642,2,2026-08-02 08:06:32,-545501.4485,2566.1181,-531817.1025
2026-08-03 03:47:33,2643,2,2026-08-02 06:25:11,174494.9719,808.8112,180982.6673
2026-08-03 03:47:33,2643,3,2026-07-02 12:19:33,-1946.3247,-161.632,-1946.3247
2026-08-03 03:47:33,2643,7,2026-08-02 14:37:31,165621.2067,182.6715,165620.5723
2026-08-03 03:47:33,2657,3,2026-06-25 10:16:36,94139.9814,0.0,94139.9814
2026-08-03 03:47:33,2657,7,2026-08-02 00:22:22,752907.3956,20719.7505,750655.3896
2026-08-03 03:47:33,2668,3,2026-06-03 08:09:35,85204.4639,0.0,85204.4639
2026-08-03 03:47:33,2668,7,2026-07-29 16:36:37,-77729.7805,275.3626,-75826.0022
2026-08-03 03:47:33,2670,3,2026-08-03 02:07:20,-63998.1104,17576.8575,-62397.3172
2026-08-03 03:47:33,2688,2,2026-08-02 09:46:58,239132.6449,5184.7065,232073.5707
2026-08-03 03:47:33,2688,3,2026-08-02 18:46:03,2303.3361,-180.0661,-2872.7189
2026-08-03 03:47:33,2688,7,2026-07-28 12:22:14,71486.4874,5885.4607,71486.4874
2026-08-03 03:47:33,2689,3,2026-07-03 08:01:28,-96635.0735,0.0,-89520.9913
2026-08-03 03:47:33,2689,7,2026-08-02 06:25:11,85891.5705,1056.4409,86063.612
2026-08-03 03:47:33,2692,2,2026-08-01 22:04:20,-257414.5115,273438.4972,-245054.189
2026-08-03 03:47:33,2697,2,2026-08-01 21:04:00,181266.586,53519.174,201615.136
2026-08-03 03:47:33,2697,3,2026-06-24 21:59:09,8790.341,0.0,8790.341
2026-08-03 03:47:33,2697,7,2026-08-01 17:38:51,405673.339,11522.831,415668.817
2026-08-03 03:47:33,2698,2,2026-08-02 09:02:15,-218058.6494,247.1441,-218058.6494
