id_eess_saldo,id_entidad,latitud,longitud,nombreEstacion,direccion,id_departamento
2960,8038,-21.1569188,-67.1684521,TRES GIGANTES LIMITADA,LA PAZ - CALLE 15 Nro S/N EDIFICIO: TORRE KETAL PISO: 5 ZONA: CALACOTO,5
2961,8155,-18.9980584,-57.7126431,FREE PORT TERMINAL COMPANY LIMITED SUCURSAL BOLIVIA,AV. LUIS SALAZAR DE LA VEGA FINAL S/N.,7
2968,4960,-16.5388,-68.075104,CALACOTO,AV. BALLIVIAN ESQ. CALLE 25 ZONA CALACOTO,2
2969,8087,-14.8262593,-64.8740047,ESTACION DE SERVICIO SERGIO FREDDY IRIARTE MERCADO-PAITITI,TRINIDAD - AV. PANAMERICANA Nro S/N ZONA:CIPRIANO BARACE,8
2971,15135,-16.9144202,-62.6172914,SURTIDOR ACIPA-SJ S.R.L.,SAN JULIAN - CARRETERA SANTA CRUZ TRINIDAD (LOC DE SAN JULIAN)S/N SONA CENTRAL NRO S/N UV:1 MZA:05 ZONA : CENTRAL,7
2972,7996,-17.6050237,-62.6810339,ESTACION DE SERVICIOS DANA S.R.L,PAILON - CARRETERA SANTA CRUZ - TRINIDAD Nro S/N  UV: 00 MZNO: 00  ZONA: B/NUEVA BELEN,7
2973,8162,-17.4031363,-63.9061495,ESTACION DE SERVICIO ICHILO S.R.L.,SANTA CRUZ - KM 130 CARRETERA SANTA CRUZ - YAPACANI Nro S/N UV: S/N MZNO: 014 ZONA: NORTE,7
2974,5003,-21.5467694,-64.6998536,PRESIDENTE ARCE,AV. PANAMERICANA ESQ AV. CARLOS MORALES AVILA,6
2975,8111,-17.403423,-63.8680514,ESTACION DE SERVICIO SAN JOSE DE YAPACANI S.R.L.,"YAPACANI - CARRETERA SANTA FE, YAPACANI NRO S/N ZONA: NORTE",7
2977,1821,-21.4530516,-64.7533344,EL MOLLE S.R.L.,MENDEZ - CARRETERA A SAN LORENZO KM.11 ZONA: EL RANCHO,6
2978,7896,-18.5028604,-64.0994402,ESTACION DE SERVICIO EUSE CRUZ,VALLEGRANDE - AV. VIRGEN DE GUADALUPE LOC. VALLEGRANDE Nro S/N UV:00 MZNO: 00 ZONA: CENTRAL,7
2979,5006,-22.0198784,-63.6772487,SAN MARTIN,AV. JACINTO DELFIN ENTRE C. RIOS Y SAN MARTIN,6
2980,5005,-21.266567,-63.4758221,PALOS BLANCOS,CALLE AVAROA ESQ. CHUQUISACA S/N ZONA CENTRAL,6
2981,7498,-21.8298983,-63.74042,ESTACION DE SERVICIO CARAPARI,CARRETERA YACUIBA TARIJA,6
2982,597,-22.0093507,-63.6809657,"EMPRESA COMERCIAL VANGUARDIA EN GAS ""VANGAS S.A."", SUCURSAL YACUIBA","YACUIBA, AVDA. LOS LIBERTADORES, ESQ. INDEPENDENCIA",6
2983,8170,-17.7885512,-63.1943734,ESTACION DE SERVICIO URBARI S.R.L.,SANTA CRUZ- CALLE RIO UBAI NRO 100 UV: 52 MZNO:86 ZONA: OESTE,7
2984,7823,-17.3523785,-63.2496551,ESTACION DE SERVICIO MONTERO,MONTERO - AV. CIRCUNVALACION FRENTE A ROTONDA SUR NO S/N ZONA: SUR,7
2985,8061,-19.0174752,-57.7196021,ESTACION DE SERVICIO LIDO S.R.L,ARROYO CONCEPCION S/N  CARRETERA BIOCEANICA KM 1,7
2986,4984,-19.0053758,-57.7146886,PUERTO QUIJARRO,AV. BRASIL,7
2987,4983,-18.9857898,-57.7932727,MARISCAL SUCRE,AV. MARISCAL SUCRE,7
2988,8157,-18.1233622,-63.9573492,ESTACION DE SERVICIO VELEZ,SANTA CRUZ - AV. AVAROA Nro 03 UV:S/N MZNO:S/N ZONA: LOCALIDAD MAIRANA,7
2989,4972,-17.4454226,-66.1371125,VALLE HERMOSO,AV. PETROLERA KM 5 1/2 ZONA VALLE HERMOSO,3
2991,4971,-17.3715955,-66.1732204,AMERICA,AV. AMERICA ESQ. CALLE PACHAMAMA ZONA CALA CALA,3
2993,8015,-17.3826034,-62.5779242,ESTACION DE SERVICIO LAS CONCHAS S.R.L.,SANTA CRUZ - KM 85 CARRETERA SANTA CRUZ-TRINDAD S/N ZONA LAS CONCHAS,7
2994,8012,-17.6367866,-62.7040995,GOTEON S.R.L.,PAILON - CARRETERA SANTA CRUZ - TRINIDAD KM. 53 Nro S/N UV: 000 MZNO:000 ZONA: BARRIO BELEN,7
2995,8129,-11.5294375,-66.288757,EL TRIANGULO ORIENTAL S.R.L.,BENI-CARRETERA A RIBERALTA NO S/N ZONA: CENTRAL,8
2996,8156,-16.6179668,-62.5081929,ESTACION DE SERVICIO LA CUEVA,"SAN RAMON, ENTRADA PRINCIPAL A SAN RAMON NRO S/N SOZA SAN RAMON",7
2998,7985,-18.9847556,-57.793048,PUERTO S.R.L.,AV.MARISCAL SUCRE CARRETERA A PUERTO-ARROYO CONCEPCION NO.S/N ZONA BARRIO LAS MALVINAS,7
3000,4965,-17.9378143,-67.1149251,SAN PEDRO ORURO,AV. TOMAS BARRON ESQ. MIRAFLORES ZONA NORTE,4
3001,4967,-17.9474539,-67.1080151,MORELA,AV. 6 DE OCTUBRE ESQ. HEROES DEL CHACO ZONA NORTE,4
3002,25095,-20.0230211,-63.5328964,ESTACION DE SERVICIO PIRAI S.R.L. - SUCURSAL 2,"CAMIRI, CARRETERA YACUIBA - SANTA CRUZ - AV. CIRCUNVALACION",7
3003,4998,-19.5835833,-65.7558331,VILLA IMPERIAL,AV. CIVICA S/N ZONA WENCEDLAO ALBA,5
3004,4999,-19.5526664,-65.4415639,BETANZOS,CALLE CHORRILLOS,5
3005,7926,-17.3668477,-66.1757811,ESTACION DE SERVICIO SANTA MONICA S.R.L.,AVENIDA MELCHOR PEREZ DE OLGUIN NRO 279 ANTES DE LLEGAR A LA  SIMON LOPEZ A MEDIA CUADRA  ZONA NORESTE,3
3007,7706,-18.0161725,-67.0324895,SOCIEDAD COMERCIAL E INDUSTRIAL BOLIVIANA SOCINBOL S.R.L,CARRETERA ORURO POTOSI KM 9.5 ZONA VICHULOMA,4
3009,8096,-17.7615382,-63.0207094,SURTIDOR COTOCA,SANTA CRUZ - CARRETERA COTOCA KM. 13 1/2 Nro S/N MZNO: 0 ZONA: COTOCA,7
3010,9091,-17.6555677,-62.7217757,ESTACION DE SERVICIO PETRO VAL S.R.L.,PAILON - CARRETERA A PAILON Nro S/N ZONA: KM. 50,7
3011,8044,-17.6010062,-62.2176122,ABERI S.R.L.,SANTA CRUZ - FLORIDA NRO 569 ZONA: CENTRAL,7
3012,15494,-17.541892,-65.841989,ESTACION DE SERVICIO EQGAS S.R.L.,CALLE TTE. LUCIO CANEDO S/N,3
3013,8141,-16.3296463,-62.9043428,"ESTACION DE SERVICIO ""EL MIRADOR""","MUNICIPIO EL PUENTE, CARRETERA SANTA CRUZ - TRINIDAD KM. 242",7
3015,7890,-17.5902249,-67.5032793,ESTACION DE SERVICIO EUCALIPTUS S.R.L.,CALLE ORURO FINAL NORTE NRO S/N ,4
3017,8125,-14.9993684,-65.6442847,ESTACION DE SERVICIO MUSERUNA,CALLE SANTIESTEVAN ESQUINA 31 DE JULIO SAN IGNACIO,8
3020,10614,-16.3894985,-60.9446091,SURTIDOR GUAPOMO S.R.L,"SAN IGNACIO - CALLE CHIQUITOS NO. S/N, ZONA: CASO VIEJO",7
3021,4976,-13.7499145,-65.425201,SANTA ANA DE YACUMA,CALLE NICOMEDES SUAREZ Y BAPTISTA ZONA SAN JUAN,8
3022,7698,-18.0702387,-64.4247287,SURTIDOR SANTIAGUITO,COMARAPA - CARRETERA ANTIGUA A COCHABAMBA Nro S/N ZONA: LA PALIZADA,7
3023,8070,-16.8231239,-65.5410712,ESTACION DE SERVICIO TRANS TRICOLOR NACIONAL S.A.,COCHABAMBA CARRETERA A TRINIDAD KM 51 S/N ZONA ETERAZAMA,3
3024,7697,-17.0135116,-63.2206501,ESTACION DE SERVICIO CHANE,SANTA CRUZ - CARRETERA CHANE - PUESTO FERNANDEZ Nro S/N ZONA: NORTE,7
3026,11900,-15.8859064,-63.189552,ESTACION DE SERVICIO EL BIBOSI MANANTIAL,ASCENCION DE GUARAYOS - AV. SANTA CRUZ S/N,7
3027,39245,-17.7649171,-63.149452,SUCURSAL S.C.-ZONA NOR ESTE,AV. PARAGUA Y CUARTO ANILLO,7
3029,7665,-17.2454634,-62.9940548,ESTACION DE SERVICIO EL TAJIBO OKINAWA,WARNES-CARRETERA A MONTERO KM 84 NRO S/N MZNO: S/N ZONA OKINAWA,7
3032,7821,-17.3942972,-66.2904333,ESTACION DE SERVICIO SAN JORGE CBBA. S.R.L.,AVENIDA BLANCO GALINDO KM. 14 1/2 BARRIO MANACO,3
3034,8182,-17.9766583,-67.1379239,ESTACION DE SERVICIO ESPAÑA,AVENIDA ESPAÑA NRO 43 Y CIRCUNVALACION UV: S/N MZNO: S/N ZONA: SUD,4
3036,8139,-17.7863638,-63.1085737,ESTACION DE SERVICIO EL PANAL,AV INTERNACIONAL S/N ZONA: BARRIO NAVIDAD,7
3039,8049,-15.9105532,-61.4324129,"ESTACION DE SERVICIO ""EL CHIQUITANO""",SANTA CRUZ - AV. ÑUFLO DE CHAVEZ - SANTA ROSA DE ROCA ZONA: NOR ESTE,7
3040,11891,-16.3134743,-67.6093637,ESTACION DE SERVICIO UMAMARCA,CORIPATA - CALLE INNOMINADA NRO S/N UV: S/N MZNO: S/N ZONA: UMAMARCA,2
3043,8013,-17.5684056,-65.776293,ESTACION DE SERVICIO ARANI,AV. INGAVI S/N ZONA ARANI,3
3044,61875,-17.38642,-66.19217,LOS LAURELES, AV. DORBIGNI ESQ. CHIRIGUANOS,3
3047,4969,-18.4198306,-66.5839153,LLALLAGUA,AV. 23 DE MARZO,5
3050,15646,-17.347014,-66.1730648,ESTACION DE SERVICIO COCHABAMBA S.R.L. SUCURSAL II,AV. CIRCUNVALACION II S/N,3
3051,15176,-19.1759232,-64.9122699,ESTACION DE SERVICIO PU'JLLAY,CARRETERA TARABUCO,1
3053,13570,-16.6300351,-68.1824363,"ESTACION DE COMERCIALIZACION COMBUSTIBLES LIQUIDOS DE PETROLEO ""ECOPETROL""",EL ALTO - AVENIDA 6 DE MARZO ESQ. AVENIDA VIACHA NRO 1010 ZONA: EX FUNDO VENTILLA,2
3055,7934,-17.3897927,-66.1834935,ESTACION DE SERVICIO BEIJING,AVENIDA  BEIJING ESQUINA CALLE  23 DE MARZO NRO S/N  DE LA ZONA VILLA BUCHS NORTE,3
3060,19543,-17.7187347,-63.1626105,ESTACION DE SERVICIO LOS COYUYOS,CARRETERA AL NORTE KM. 6 Nro S/N UV: 77 MZNO:28 ZONA NORTE,7
3062,13825,-20.4549066,-66.8303538,SAN CRISTOBAL S.R.L.,"CALLE CAMACHO ESQ. PEREZ, ZONA CENTRAL DE LA CIUDAD DE UYUNI",5
3063,11243,-17.338446,-66.222632,FORTALEZA ENERGY S.R.L.,TIQUIPAYA - CALLE COCHABAMBA NRO 742 ZONA:CENTRAL,3
3064,7756,-18.0038848,-63.3887534,ESTACION DE SERVICIO GASCAR S.R.L.,CARRETERA ANTIGUA A CBBA S/N ZONA EL TORNO,7
3065,55050,-13.15504,-61.99585,SUCURSAL LA ENCONADA,CARRETERA A TRINIDAD KM. 27,7
3066,17484,-17.3753363,-66.1362185,"ESTACION DE SERVICIO ""LOS ALPES""",CERCADO - AV. VILLAZON NRO S/N ZONA: MUYURINA,3
3068,12613,-14.8655758,-66.7444795," ESTACION DE SERVICIO ""IRIARTE SAN BORJA""",BENI-CALLE COCHABAMBA NRO 7 SAN BORJA,8
3069,12648,-16.392685,-67.5358415,ESTACION DE SERVICIO HUANCANE Y TRANSPORTE S.R.L.,CHULUMANI - LOCALIDAD DE HUANCANE NRO S/N ZONA S/Z DEL DEPARTAMENTO DE LA PAZ,2
3071,4968,-18.4647997,-66.565963,UNCIA,AV. SUCRE,5
3072,19580,-11.2266946,-68.6956092,ESTACION DE SERVICIO COCAMITA,COBIJA PANDO CARRETERA COBIJA PORVENIR KM28,9
3073,18862,-17.0099051,-65.4476406,ESTACION DE SERVICIO FOX J.G.J S.R.L.,AV INTEGRACION CARRETERA CBBA-SANTA CRUZ KM 158,3
3074,7935,-16.6693343,-63.8677386,SAN JOAQUIN I SRL,SARA -  AVENIDA SANTA ROSA ESQ. CALLE SAN PEDRO Y CALLE MONTERO Nro S/N MZNO: S/N ZONA: NORTE,7
3076,11352,-15.2479385,-63.8645822,ESTACION DE SERVICIO EL JUNTE,CARRETERA SANTA CRUZ TRINIDAD KM 412 PUNTE SAN PABLO,7
3077,7884,-17.3985383,-66.0524195,ESTACION DE SERVICIO CITY TRUCK FH S.R.L.,AV. VILLAZON KM 10.5,3
3078,4993,-19.796724,-63.950871,MONTEAGUDO,CALLE PIRAIMIRI FINAL BARRIO LOS SAUCES,1
3079,8024,-17.8833765,-63.2662104,ESTACION DE SERVICIO BICENTENARIO SRL,CARRETERA CAMIRI KM 13,7
3080,1100,-15.1693483,-67.0347011,ESTACION DE SERVICIO COLQUEPATA,SAN BORJA CARRETERA LA PAZ YUCUMO,8
3081,20238,-17.4075785,-65.9991736,CHIÑATA S.R.L.,SACABA - CARRETERA NUEVA SANTA CRUZ KM 20 NRO S/N ZONA: SAN GANGOCHE,3
3083,8128,-15.6513045,-67.259261,"ESTACION DE SERVICIO ""MADAGASCAR"" S.R.L.",LA PAZ-KM. 52 NO S/N UV: S/N MZNO: S/N ZONA: BELLA VISTA,2
3084,23107,-16.809841,-63.476315,SAN PEDRO DEL NORTE (INTERVENIDA),AV. SANTA CRUZ - ZONA CENTRAL,7
3086,27470,-17.7535335,-63.2212943,"ESTACION DE SERVICIO ORSA S.R.L. ""SUCURSAL 1 - URUBO""",URUBO LOTE ET1CC4 S/N,7
3087,9592,-17.352858,-63.3825284,ESTACION DE SERVICIO LOS BIBOSIS S.R.L.,PORTACHUELO-CIRCUNVALACION S/N ZONA ESTE,7
3089,20387,-14.7371519,-67.1873907,"ESTACION DE SERVICIOS ""TORREZ""",CARRETERA YUCUMO-RURRENABAQUE ZONA COMUNIDAD COLLANA,8
3090,16198,-17.3571306,-65.8479499,ESTACION DE SERVICIO CHULLPANI,COLOMI - CARRETERA NUEVA A SANTA CRUZ KM 42 S/N ZONA CHULLPANI,3
3091,27919,-18.8930421,-66.7788479,ESTACION DE SERVICIO ROSMERY ROXANA MENDOZA PE�ALOZA,ORURO - LOCALIDAD DE CHALLAPATA,4
